patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,42.0,440.37,440.52,41.85
5,CONTROL FEEDBACK,0.0,1.0,42.0,444.6,443.48,40.06
5,CONTROL FEEDBACK,0.0,2.0,42.0,443.38,443.01,36.23
5,CONTROL FEEDBACK,0.0,3.0,42.0,443.02,438.64,34.52
5,CONTROL FEEDBACK,1.0,0.0,42.0,444.74,444.81,38.87
5,CONTROL FEEDBACK,1.0,1.0,42.0,441.9,440.24,36.9
5,CONTROL FEEDBACK,1.0,2.0,42.0,437.77,435.41,34.11
5,CONTROL FEEDBACK,1.0,3.0,42.0,432.67,430.29,31.85
5,NEGLIGIBLE OUTCOME,0.0,0.0,54.0,434.84,432.29,49.16
5,NEGLIGIBLE OUTCOME,0.0,1.0,54.0,436.66,426.34,46.6
5,NEGLIGIBLE OUTCOME,0.0,2.0,54.0,435.96,427.86,49.5
5,NEGLIGIBLE OUTCOME,0.0,3.0,54.0,441.1,431.53,46.93
5,NEGLIGIBLE OUTCOME,1.0,0.0,54.0,439.22,435.42,50.91
5,NEGLIGIBLE OUTCOME,1.0,1.0,54.0,434.04,428.94,47.8
5,NEGLIGIBLE OUTCOME,1.0,2.0,54.0,430.98,422.95,45.77
5,NEGLIGIBLE OUTCOME,1.0,3.0,54.0,428.31,423.91,45.51
5,SUBSTANTIAL OUTCOME,0.0,0.0,34.0,446.75,446.86,49.45
5,SUBSTANTIAL OUTCOME,0.0,1.0,34.0,449.83,457.77,49.81
5,SUBSTANTIAL OUTCOME,0.0,2.0,34.0,449.82,458.43,49.59
5,SUBSTANTIAL OUTCOME,0.0,3.0,34.0,446.52,455.48,48.33
5,SUBSTANTIAL OUTCOME,1.0,0.0,34.0,456.07,465.33,49.0
5,SUBSTANTIAL OUTCOME,1.0,1.0,34.0,450.35,455.18,51.21
5,SUBSTANTIAL OUTCOME,1.0,2.0,34.0,443.08,446.4,48.59
5,SUBSTANTIAL OUTCOME,1.0,3.0,34.0,441.58,451.76,48.1
10,CONTROL FEEDBACK,0.0,0.0,41.0,441.26,442.8,43.91
10,CONTROL FEEDBACK,0.0,1.0,41.0,437.41,439.58,46.89
10,CONTROL FEEDBACK,0.0,2.0,41.0,441.36,434.44,39.82
10,CONTROL FEEDBACK,0.0,3.0,41.0,442.26,433.82,46.18
10,CONTROL FEEDBACK,1.0,0.0,41.0,439.8,431.02,45.92
10,CONTROL FEEDBACK,1.0,1.0,41.0,436.01,438.19,42.32
10,CONTROL FEEDBACK,1.0,2.0,41.0,436.0,437.5,47.12
10,CONTROL FEEDBACK,1.0,3.0,41.0,429.44,431.72,45.02
10,NEGLIGIBLE OUTCOME,0.0,0.0,36.0,443.45,447.99,46.33
10,NEGLIGIBLE OUTCOME,0.0,1.0,36.0,441.19,445.81,43.98
10,NEGLIGIBLE OUTCOME,0.0,2.0,36.0,441.79,440.93,44.26
10,NEGLIGIBLE OUTCOME,0.0,3.0,36.0,447.06,446.89,44.11
10,NEGLIGIBLE OUTCOME,1.0,0.0,36.0,438.1,433.82,45.46
10,NEGLIGIBLE OUTCOME,1.0,1.0,36.0,440.65,437.33,45.98
10,NEGLIGIBLE OUTCOME,1.0,2.0,36.0,434.59,425.56,49.58
10,NEGLIGIBLE OUTCOME,1.0,3.0,36.0,439.96,436.15,44.53
10,SUBSTANTIAL OUTCOME,0.0,0.0,59.0,445.74,442.21,32.54
10,SUBSTANTIAL OUTCOME,0.0,1.0,59.0,440.37,443.33,32.62
10,SUBSTANTIAL OUTCOME,0.0,2.0,59.0,445.33,441.67,33.37
10,SUBSTANTIAL OUTCOME,0.0,3.0,59.0,450.41,450.93,37.09
10,SUBSTANTIAL OUTCOME,1.0,0.0,59.0,445.37,442.16,36.34
10,SUBSTANTIAL OUTCOME,1.0,1.0,59.0,445.1,444.87,34.87
10,SUBSTANTIAL OUTCOME,1.0,2.0,59.0,440.06,435.0,36.25
10,SUBSTANTIAL OUTCOME,1.0,3.0,59.0,436.69,433.33,33.28
